Time,Frame Counter,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
17-37-19.706,1,,,,-0.300,0.000,0.000,10,-20,-33,55.690,2.780,12.400,,,,
17-37-19.716,2,,,,-0.200,-0.100,0.000,10,-20,-33,55.690,2.780,12.400,,,,
17-37-19.726,3,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.780,12.400,,,,
17-37-19.736,4,,,,0.100,0.000,0.000,10,-20,-33,55.690,2.780,12.400,,,,
17-37-19.747,5,,,,0.200,0.000,0.000,10,-20,-33,55.690,2.780,12.400,,,,
17-37-19.756,6,,,,0.200,0.000,0.000,10,-20,-33,55.700,2.780,12.400,,,,
17-37-19.767,7,,,,0.100,0.000,0.000,10,-20,-33,55.700,2.780,12.400,,,,
17-37-19.779,8,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.780,12.400,,,,
17-37-19.787,9,,,,-0.100,0.000,0.000,10,-20,-33,55.700,2.780,12.400,,,,
17-37-19.798,10,,,,-0.200,0.000,0.000,10,-20,-33,55.690,2.780,12.400,,,,
17-37-19.807,11,,,,-0.200,0.000,0.000,10,-20,-33,55.690,2.780,12.400,,,,
17-37-19.817,12,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.780,12.400,,,,
17-37-19.827,13,,,,0.100,0.000,0.000,10,-20,-33,55.690,2.780,12.400,,,,
17-37-19.837,14,,,,0.200,0.000,0.000,10,-20,-33,55.690,2.780,12.400,,,,
17-37-19.848,15,,,,0.200,0.000,0.000,10,-20,-33,55.690,2.780,12.400,,,,
17-37-19.857,16,,,,0.100,0.000,0.000,10,-21,-33,55.690,2.780,12.400,,,,
17-37-19.868,17,,,,0.000,0.000,0.000,10,-21,-33,55.690,2.780,12.400,,,,
17-37-19.877,18,,,,-0.100,0.000,0.000,9,-20,-33,55.690,2.780,12.400,,,,
17-37-19.886,19,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.780,12.400,,,,
17-37-19.898,20,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.780,12.400,,,,
17-37-19.907,21,,,,0.200,0.000,0.000,9,-20,-33,55.690,2.770,12.400,,,,
17-37-19.908,22,,,,0.200,0.000,0.000,10,-20,-33,55.700,2.770,12.400,,,,
17-37-19.917,23,,,,0.200,0.000,0.000,10,-20,-33,55.700,2.770,12.400,,,,
17-37-19.927,24,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.770,12.400,,,,
17-37-19.947,25,,,,0.000,0.000,0.000,10,-20,-32,55.700,2.770,12.400,,,,
17-37-19.947,26,,,,-0.100,0.000,0.000,10,-20,-33,55.700,2.770,12.400,,,,
17-37-19.957,27,,,,-0.100,0.000,0.000,10,-20,-33,55.690,2.770,12.400,,,,
17-37-19.967,28,,,,-0.100,0.000,0.000,9,-20,-33,55.690,2.770,12.400,,,,
17-37-19.977,29,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.770,12.400,,,,
17-37-19.998,30,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.770,12.400,,,,
17-37-20.002,31,,,,0.100,0.000,0.000,9,-20,-33,55.690,2.770,12.400,,,,
17-37-20.012,32,,,,0.100,0.000,0.000,10,-20,-33,55.700,2.770,12.400,,,,
