Time,Frame,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
23-36-52.445,1,0.086,-0.283,0.960,-2.511,-1.636,12.973,25,22,-10,-15.15,-3.83,-99.59,0.636,-0.110,0.079,-0.760
23-36-52.450,2,0.071,-0.310,0.964,-0.674,-0.878,13.832,24,22,-10,-15.18,-3.82,-99.46,0.637,-0.110,0.079,-0.759
23-36-52.460,3,0.105,-0.370,0.967,0.792,-0.293,11.264,25,22,-11,-15.20,-3.79,-99.33,0.638,-0.111,0.080,-0.758
23-36-52.470,4,0.113,-0.327,0.987,3.887,-0.221,4.293,24,22,-10,-15.26,-3.79,-99.22,0.639,-0.111,0.080,-0.757
23-36-52.480,5,0.110,-0.307,0.971,1.761,-3.534,1.109,24,22,-10,-15.23,-3.79,-99.18,0.639,-0.111,0.080,-0.757
23-36-52.490,6,0.098,-0.287,0.964,5.674,-5.617,-0.782,24,23,-10,-15.20,-3.83,-99.17,0.639,-0.111,0.079,-0.757
23-36-52.500,7,0.106,-0.276,0.924,1.944,-6.826,-3.419,24,22,-10,-15.15,-3.88,-99.16,0.639,-0.111,0.079,-0.757
23-36-52.510,8,0.098,-0.279,0.889,10.197,-7.527,-3.835,24,23,-10,-15.12,-3.96,-99.18,0.639,-0.112,0.078,-0.757
23-36-52.520,9,0.082,-0.295,0.921,19.312,-4.220,-1.314,24,22,-11,-15.03,-4.08,-99.19,0.639,-0.112,0.077,-0.757
23-36-52.532,10,0.082,-0.311,0.948,15.541,-0.981,0.944,24,23,-11,-14.84,-4.11,-99.19,0.639,-0.111,0.075,-0.758
23-36-52.540,11,0.062,-0.369,0.960,17.952,-2.123,0.519,24,22,-11,-14.69,-4.12,-99.18,0.639,-0.110,0.074,-0.758
23-36-52.550,12,0.059,-0.310,0.996,21.082,-3.330,-10.001,24,22,-12,-14.50,-4.15,-99.18,0.639,-0.109,0.073,-0.758
23-36-52.561,13,0.075,-0.201,1.019,9.009,-5.298,-16.748,24,22,-11,-14.29,-4.21,-99.28,0.639,-0.108,0.071,-0.758
23-36-52.570,14,0.040,-0.235,0.914,-12.048,-10.771,-10.841,24,22,-11,-14.24,-4.33,-99.40,0.638,-0.109,0.070,-0.759
23-36-52.580,15,0.032,-0.235,0.922,-12.582,-6.865,-3.500,24,22,-11,-14.36,-4.45,-99.47,0.637,-0.110,0.070,-0.760
23-36-52.591,16,0.044,-0.243,0.977,-12.008,-1.814,-2.399,23,22,-11,-14.48,-4.52,-99.49,0.637,-0.111,0.071,-0.760
23-36-52.600,17,0.056,-0.216,0.965,-7.096,-2.391,-3.922,24,23,-11,-14.60,-4.54,-99.51,0.636,-0.112,0.072,-0.760
23-36-52.610,18,0.084,-0.143,1.051,17.535,-1.380,-4.193,24,23,-11,-14.64,-4.57,-99.54,0.636,-0.112,0.072,-0.760
23-36-52.620,19,0.088,-0.178,1.090,14.168,-3.029,0.453,24,22,-11,-14.44,-4.58,-99.58,0.636,-0.111,0.070,-0.760
23-36-52.630,20,0.099,-0.205,1.074,19.452,-10.386,3.461,23,22,-11,-14.30,-4.61,-99.56,0.636,-0.111,0.069,-0.760
23-36-52.640,21,0.141,-0.269,1.096,18.868,-12.509,2.542,24,22,-12,-14.11,-4.71,-99.50,0.637,-0.110,0.067,-0.760
23-36-52.651,22,0.145,-0.335,1.116,40.996,-19.073,0.189,23,22,-12,-13.90,-4.83,-99.44,0.637,-0.110,0.065,-0.760
23-36-52.660,23,0.235,-0.227,1.172,67.470,-27.300,-5.095,24,22,-12,-13.46,-5.03,-99.40,0.638,-0.109,0.061,-0.760
23-36-52.670,24,0.158,-0.215,1.253,103.569,-38.089,-2.227,23,22,-13,-12.73,-5.32,-99.37,0.638,-0.107,0.055,-0.760
23-36-52.681,25,0.150,-0.207,1.241,88.640,-51.237,4.609,23,21,-14,-11.72,-5.71,-99.30,0.639,-0.104,0.046,-0.760
23-36-52.690,26,0.142,-0.210,1.108,64.749,-69.341,8.740,23,22,-15,-10.89,-6.22,-99.14,0.641,-0.103,0.037,-0.760
23-36-52.701,27,0.134,-0.190,0.963,73.914,-80.733,11.999,23,21,-16,-10.26,-6.90,-98.92,0.642,-0.104,0.029,-0.759
23-36-52.711,28,0.177,-0.140,1.017,104.346,-78.368,15.836,22,21,-16,-9.51,-7.68,-98.66,0.644,-0.105,0.019,-0.758
23-36-52.721,29,0.137,-0.265,1.002,93.026,-68.893,18.999,22,20,-17,-8.56,-8.45,-98.35,0.646,-0.104,0.008,-0.756
23-36-52.731,30,0.172,-0.285,0.989,77.114,-75.124,16.163,22,20,-18,-7.69,-9.12,-98.06,0.648,-0.104,-0.001,-0.754
23-36-52.741,31,0.184,-0.285,0.926,63.818,-73.709,2.560,22,20,-19,-6.99,-9.84,-97.81,0.650,-0.104,-0.011,-0.753
